Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9920318725099602,1.0,0.9828080229226361,0.9913294797687862
Logistic Regression,0.9840637450199203,0.9941348973607038,0.9713467048710601,0.9826086956521738
SVM,0.9867197875166003,0.9941690962099126,0.9770773638968482,0.9855491329479769
XGBoost,0.9920318725099602,0.9942363112391931,0.9885386819484241,0.9913793103448276
KNN,0.9814077025232404,0.9970326409495549,0.9627507163323782,0.9795918367346937
Ridge Classifier,0.9641434262948207,1.0,0.9226361031518625,0.9597615499254845
Decision Tree,0.9787516600265604,0.9770773638968482,0.9770773638968482,0.9770773638968482
Naive Bayes,0.9641434262948207,0.9849397590361446,0.9369627507163324,0.9603524229074891
